City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
240,ascencion de guarayos,-16.1734,-63.8543,300.5,61,79,1.02,BO,1700707124
241,udachny,72.2848,110.9186,243.3,100,100,2.44,RU,1700707137
242,aioun,15.1392,-9.473,293.7,17,96,3.09,ML,1700707148
243,bakchar,56.5992,82.438,264.79,57,100,4.3,RU,1700707150
244,tabuk,28.9883,36.7464,289.27,65,100,3.9,SA,1700707153
245,papatowai,-78.665,171.3324,262.87,91,80,2.62,AQ,1700707162
246,tindouf,27.9989,-7.3315,289.19,23,9,5.21,DZ,1700707171
247,wad az zaki,14.3236,31.8369,297.41,25,28,5.05,SD,1700707183
248,siwa oasis,29.518,23.5836,286.79,47,27,3.2,LY,1700707184
249,geneina,12.6567,22.5359,296.15,31,64,1.71,SD,1700707186
250,brokopondo,2.6525,-54.36,294.75,99,98,0.84,GF,1700707190
251,karratha,-21.639,115.9456,314.51,9,28,5.44,AU,1700707195
252,afaahiti,-18.8625,-139.925,298.15,83,99,9.44,PF,1700707198
253,mandan,46.5488,-101.7127,271.39,63,91,4.13,US,1700707202
254,jefferson city,38.5601,-92.1698,278.25,65,0,0.0,US,1700707207
255,sao raimundo das mangabeiras,-7.6779,-45.3732,295.83,89,100,0.38,BR,1700707228
256,salinas,-2.4017,-81.392,298.19,86,86,7.39,EC,1700707235
257,ambalavao,-22.0957,46.5962,291.22,77,2,1.91,MG,1700707237
258,burang,32.7893,80.94,257.17,20,2,2.16,CN,1700707242
259,yangjiang,20.8803,111.7309,296.67,72,57,5.93,CN,1700707245
260,jasper,31.2257,-93.6935,277.49,52,99,1.92,US,1700707247
261,boende,-0.7258,22.0816,294.04,99,100,0.87,CD,1700707249
262,budelsdorf,54.3408,9.6668,283.23,98,100,9.77,DE,1700707256
263,khanty-mansiysk,61.2043,68.2981,266.02,93,100,6.96,RU,1700707280
264,sebdou,34.4204,-1.5646,276.88,68,0,1.91,MA,1700707289
265,marquette,48.2761,-87.2542,272.87,93,100,3.61,CA,1700707291
266,montbard,47.6123,4.5434,272.91,79,71,1.19,FR,1700707293
267,yanchep,-30.4943,114.984,295.2,80,35,6.32,AU,1700707297
268,minab,27.3957,56.7514,293.73,43,38,4.78,IR,1700707304
269,edgewater,29.3652,-80.035,295.2,73,100,9.7,US,1700707306
270,assab,12.6264,42.4498,296.12,72,3,5.67,ET,1700707319
271,mazzarino,37.322,14.2485,286.96,94,65,5.45,IT,1700707332
272,tandil,-36.7662,-58.556,288.05,49,83,2.94,AR,1700707338
273,nkurenkuru,-16.1741,19.2946,293.46,80,76,1.94,AO,1700707339
274,merizo village,9.7868,144.919,302.13,73,4,7.27,FM,1700707350
275,griffith,-33.0692,144.9945,299.89,47,100,7.45,AU,1700707354
276,glen innes,-29.9215,151.7975,292.23,78,100,3.1,AU,1700707356
277,kenai,62.7189,-153.3582,267.77,87,100,2.77,US,1700707359
278,bojnurd,37.4994,56.5393,276.91,49,2,4.97,IR,1700707368
279,hamilton,31.3159,-64.3452,294.04,64,100,8.45,BM,1700707371
280,chibougamau,51.7696,-75.0419,263.38,97,100,1.71,CA,1700707387
281,illizi,26.5471,8.2287,284.23,62,0,1.43,DZ,1700707396
282,serdobsk,52.8952,44.0873,261.76,92,28,4.48,RU,1700707400
283,gelemso,8.3591,40.4374,290.22,70,13,1.12,ET,1700707407
284,sur,22.2219,59.5206,296.26,64,16,2.13,OM,1700707408
285,changji,45.2187,87.3261,274.04,26,96,1.88,CN,1700707417
286,cahul,46.0301,28.4023,272.03,76,34,3.58,MD,1700707422
287,cockburn town,22.2415,-71.6021,300.03,61,0,5.46,TC,1700707424
288,tippi,7.4395,35.5603,283.46,97,11,0.78,ET,1700707433
289,bokovskaya,49.1029,42.0349,265.8,72,100,4.14,RU,1700707435
290,atar,19.5995,-12.6233,296.72,13,100,3.48,MR,1700707442
291,kendari,-3.4639,122.1031,306.68,50,13,2.3,ID,1700707445
292,monte patria,-30.648,-70.6274,280.6,48,9,0.44,CL,1700707454
293,huilong,31.694,123.2949,291.68,64,3,7.26,CN,1700707458
294,kokopo,-5.1621,152.6066,300.86,78,100,4.15,PG,1700707459
295,suzun,54.185,82.6369,267.37,64,100,3.67,RU,1700707463
296,pasil,17.4195,121.1308,295.78,63,97,1.76,PH,1700707465
297,finale ligure,43.9784,8.4433,288.15,64,40,12.46,IT,1700707476
298,barreiro do jaiba,-15.7819,-43.7836,296.13,42,7,0.5,BR,1700707498
299,zag,27.0086,-9.3091,287.3,61,27,10.48,DZ,1700707502
300,la tuque,47.6749,-72.9712,272.49,99,100,0.76,CA,1700707510
301,muborak,38.8121,65.0126,282.54,51,0,2.59,UZ,1700707513
302,nueva loja,0.0644,-77.3129,294.11,99,100,2.24,EC,1700707526
303,newman,-26.0382,117.6576,308.87,11,41,6.05,AU,1700707529
304,turgenevo,54.6707,46.3753,260.61,93,100,5.87,RU,1700707531
305,badger,64.2771,-140.854,252.15,97,66,1.71,US,1700707556
306,nanpara,27.7975,81.5716,291.75,49,0,1.33,IN,1700707561
307,semera,12.2539,41.2715,296.54,58,6,2.86,ET,1700707563
308,kapuskasing,56.5429,-86.8931,262.75,96,100,19.12,CA,1700707569
309,santa ana de yacuma,-13.9518,-65.1283,300.71,56,56,1.91,BO,1700707572
310,villa nueva,-32.4097,-63.4459,293.95,58,31,2.77,AR,1700707576
311,zavetnoye,47.0737,44.023,270.88,68,100,3.77,RU,1700707578
312,calama,-23.1135,-69.0634,283.45,40,61,1.67,CL,1700707585
313,bethel,60.617,-166.4667,270.24,80,100,13.56,US,1700707592
314,meadow lakes,64.7919,-151.6646,259.48,95,100,1.23,US,1700707600
315,laojunmiao,41.6808,96.0756,274.37,19,1,0.6,CN,1700707601
316,nadym,66.2355,72.3652,261.84,76,100,9.85,RU,1700707605
317,port hedland,-19.6262,118.8247,303.23,48,0,4.06,AU,1700707610
318,qaqortoq,61.2616,-48.2528,263.36,56,0,3.36,GL,1700707620
319,iqaluit,73.8169,-81.3678,255.2,97,100,8.58,CA,1700707623
320,krasnokuts'k,50.0668,35.0972,260.2,87,4,2.37,UA,1700707625
321,broken hill,-28.1953,141.1957,305.33,30,69,1.67,AU,1700707629
322,sorong,0.3984,131.5174,302.28,75,23,5.47,ID,1700707636
323,itaituba,-4.4656,-55.2091,296.02,99,100,0.59,BR,1700707656
324,kapuskasing,52.5227,-83.2591,262.14,92,40,3.49,CA,1700707660
325,faaa,-16.9941,-150.0024,299.67,82,41,9.09,PF,1700707663
326,polczyn-zdroj,53.7891,16.2026,273.09,90,100,10.04,PL,1700707670
327,shemgang,27.1123,90.4272,290.13,53,3,0.93,BT,1700707675
328,seosan,36.3881,125.3736,286.22,69,1,5.39,KR,1700707679
329,severo-yeniseyskiy,62.0261,89.401,249.56,100,88,1.63,RU,1700707692
330,nadym,67.1278,72.9117,262.15,85,100,10.16,RU,1700707702
331,colonia,8.5293,140.7966,302.06,74,4,7.06,FM,1700707707
332,cockburn town,21.3006,-70.5004,300.07,62,14,6.11,TC,1700707711
333,tekman,39.7065,41.5895,257.65,78,87,1.76,TR,1700707715
334,nizhniy odes,65.8768,54.8016,262.64,96,100,0.14,RU,1700707718
335,troitsko-pechorsk,62.3108,55.3782,262.27,94,100,3.53,RU,1700707720
336,pahrump,36.9443,-116.6581,283.03,19,87,0.54,US,1700707727
337,pikalevo,60.1183,34.0745,265.28,82,100,5.52,RU,1700707735
338,tulun,53.6943,99.9929,254.7,59,7,0.81,RU,1700707760
339,taiynsha,54.1725,70.0938,275.03,91,99,5.58,KZ,1700707787
340,mambajao,9.2336,124.6795,301.04,76,37,3.69,PH,1700707793
